1622414378.287000,421.037884,463.706636,99.672983,0.005858,0.999851,-0.016232,-0.999983,0.005854,-0.000308,-0.000213,0.016234,0.999868,0.000308,-0.016233,-1.564937
1622414378.326000,420.997917,463.693572,99.615067,0.006046,0.999843,-0.016659,-0.999982,0.006050,0.000184,0.000285,0.016658,0.999861,-0.000185,-0.016660,-1.564749
1622414378.372000,420.954177,463.728638,99.614144,0.006612,0.999841,-0.016580,-0.999978,0.006622,0.000535,0.000644,0.016576,0.999862,-0.000535,-0.016580,-1.564183
1622414378.389000,421.033554,463.705997,99.687034,0.005817,0.999852,-0.016211,-0.999983,0.005814,-0.000213,-0.000119,0.016212,0.999869,0.000213,-0.016212,-1.564979
1622414378.400000,421.032517,463.710421,99.689245,0.005835,0.999850,-0.016281,-0.999983,0.005832,-0.000209,-0.000114,0.016282,0.999867,0.000209,-0.016282,-1.564961
1622414378.405000,421.035453,463.710038,99.676073,0.005860,0.999851,-0.016252,-0.999983,0.005856,-0.000269,-0.000174,0.016253,0.999868,0.000269,-0.016253,-1.564936
1622414378.412000,421.037889,463.708109,99.686405,0.005828,0.999852,-0.016215,-0.999983,0.005825,-0.000206,-0.000111,0.016216,0.999869,0.000206,-0.016216,-1.564968
1622414378.422000,421.005059,463.703880,99.647833,0.006261,0.999827,-0.017533,-0.999980,0.006239,-0.001304,-0.001194,0.017541,0.999845,0.001304,-0.017534,-1.564534
1622414378.431000,421.035485,463.705178,99.681845,0.005866,0.999851,-0.016244,-0.999983,0.005862,-0.000289,-0.000194,0.016245,0.999868,0.000289,-0.016245,-1.564929
1622414378.441000,421.000031,463.691374,99.613009,0.006019,0.999844,-0.016593,-0.999982,0.006022,0.000135,0.000235,0.016592,0.999862,-0.000135,-0.016594,-1.564777
1622414378.452000,421.032115,463.706675,99.672969,0.005831,0.999850,-0.016315,-0.999983,0.005827,-0.000297,-0.000202,0.016316,0.999867,0.000297,-0.016316,-1.564965
